"","ID","TIME_ABSOLUTE","TIME_ELAPSED","X","Y","Z","U_Seeb","U_Seeb_StdDev","T_Probe","T_Sample","dT","X.","X._StdDev","T01...Column","T02...Room","T03...Device","std_dev_ID","std_dev_TIME_ABSOLUTE","std_dev_TIME_ELAPSED","std_dev_X","std_dev_Y","std_dev_Z","std_dev_U_Seeb","std_dev_U_Seeb_StdDev","std_dev_T_Probe","std_dev_T_Sample","std_dev_dT","std_dev_X.","std_dev_X._StdDev","std_dev_T01...Column","std_dev_T02...Room","std_dev_T03...Device"
"35",33,"2021.12.01 18:09:48",1203.58182,0.75,0.3,-3.48,1.14398,0.006221,36.55292,26.88244,6,190.6626,1.0366,27.30092,23.30846,26.76642,0,NA,14.7271983851987,0,0,0,0.0155200515463062,0.00458080587888201,0.0267676483838233,0.0256938319446519,0,2.58927687395535,0.763066632083988,0.0638601362353698,0.0403721190922651,0.044468944219534
"36",34,"2021.12.01 18:09:48",1244.96184,0.9,0.3,-3.48,1.1864,0.0107038,36.53138,26.88216,6,197.73586,1.784,27.25448,23.3189,26.7326,0,NA,9.0283651248717,0,0,0,0.0503585146722975,0.00270756850328851,0.0388765610619039,0.0190992931806384,0,8.39559163924735,0.451294249907973,0.0233193481898625,0.0397205866019122,0.0277957730599459
"37",35,"2021.12.01 18:09:48",1285.28826,1.05,0.3,-3.48,1.26258,0.0090106,36.56266,26.86818,6,210.42928,1.50146,27.2393,23.3281,26.74414,0,NA,10.3402163547481,0,0,0,0.0553169684635737,0.0059622161819243,0.0448137590478628,0.00964686477566653,0,9.21751878148344,0.99337354404071,0.0618264910859417,0.0541582865312415,0.0416200432484152
"38",36,"2021.12.01 18:09:48",1319.95474,1.2,0.3,-3.48,1.15048,0.007595,36.50732,26.85914,6,191.74636,1.26596,27.21374,23.31958,26.76026,0,NA,9.35923838984778,0,0,0,0.0236377240867221,0.00331125557757175,0.0222241310291321,0.0200206892988232,0,3.93824552980131,0.551992489079335,0.0545236003946917,0.0652488850479453,0.0354281385342217
"39",37,"2021.12.01 18:09:48",1350.99276,1.35,0.3,-3.48,1.24508,0.006897,36.55012,26.86724,6,207.5156,1.14956,27.19798,23.33512,26.7585,0,NA,8.32586687366549,0,0,0,0.0273880813493753,0.00389651658536185,0.0440025794698439,0.0137943104213292,0,4.56375550835055,0.649454038404566,0.0466675154684723,0.0544860257313738,0.0306745008109344
"40",38,"2021.12.01 18:09:48",1382.60484,1.5,0.3,-3.48,1.14274,0.0093776,36.54526,26.8692,6,190.4592,1.563,27.12464,23.33852,26.73952,0,NA,8.01659523257847,0,0,0,0.0282804349330062,0.00468939295644969,0.0171393698834008,0.02922635796674,0,4.71256712578188,0.781491589845982,0.0425088579004425,0.0340984163855154,0.0892165175289866
"41",39,"2021.12.01 18:09:48",1412.01092,1.65,0.3,-3.48,1.1508,0.0076658,36.52726,26.86822,6,191.79776,1.2778,27.10752,23.35538,26.73366,0,NA,8.0164371167621,0,0,0,0.0218257875001109,0.00399433876880767,0.0392433816076045,0.0269565761920913,0,3.63963859373428,0.665927833927972,0.0467262988048476,0.0400825647881964,0.0505721069365317
"42",40,"2021.12.01 18:09:48",1445.49196,1.8,0.3,-3.48,1.17506,0.0097718,36.56572,26.87672,6,195.84604,1.62886,27.0724,23.34982,26.71516,0,NA,8.02628358164603,0,0,0,0.0277500990989221,0.00435105437796404,0.00610917343017847,0.0245924175306131,0,4.62987748142432,0.72537914086359,0.0416378433639396,0.0306148983339816,0.0447022147102358
"43",41,"2021.12.01 18:09:48",1477.95562,1.95,0.3,-3.48,1.16038,0.0050214,36.52628,26.86942,6,193.39208,0.83706,27.0369,23.31968,26.70832,0,NA,8.01899041974734,0,0,0,0.0396395257287471,0.00349151411281696,0.0317447948489185,0.0232519246515202,0,6.60689192563341,0.582060381747461,0.0383133136128945,0.0264292830020037,0.0241548545845344
"44",42,"2021.12.01 18:09:48",1511.6446,0,0.45,-3.48,1.138,0.0051464,36.5633,26.86802,6,189.66198,0.85778,27.00994,23.33608,26.7547,0,NA,9.38378748240818,0,0,0,0.0132921029186506,0.0021531543836892,0.0170415668293743,0.0144948956532972,0,2.21667656007817,0.358919938147771,0.0593600286388077,0.0452387223515425,0.0340435750179083
